FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
81,2020-06-13,Falcon 9,81,VLEO,,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,5,B1059,,
82,2020-06-30,Falcon 9,82,MEO,,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5,9,B1060,,
83,2020-07-20,Falcon 9,83,GEO,,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5,10,B1058,,
84,2020-08-18,Falcon 9,84,VLEO,,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1049,,
85,2020-08-30,Falcon 9,85,SSO,,True RTLS,4,True,True,True,5e9e3032383ecb267a34e7c7,5,5,B1059,,
86,2020-09-03,Falcon 9,86,VLEO,,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5,9,B1060,,
87,2020-10-06,Falcon 9,87,VLEO,,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,10,B1058,,
88,2020-10-18,Falcon 9,88,VLEO,,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5,10,B1051,,
89,2020-10-24,Falcon 9,89,VLEO,,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5,9,B1060,,
90,2020-11-05,Falcon 9,90,MEO,,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,3,B1062,,
